IP,延迟(ms),丢包率(%),速度(Mbps)
188.114.96.165,14.77,0.00,0.00
104.24.90.187,13.89,0.00,0.00
198.41.218.149,11.42,0.00,0.00
172.67.109.234,14.36,0.00,0.00
172.65.0.218,12.76,0.00,0.00
104.16.100.25,15.30,0.00,0.00
104.16.132.148,11.95,0.00,0.00
190.93.247.22,11.61,0.00,0.00
104.18.92.173,14.49,0.00,0.00
104.17.215.186,11.47,0.00,0.00
104.25.110.157,11.76,0.00,0.00
172.64.156.183,11.60,0.00,0.00
173.245.59.245,13.80,0.00,0.00
173.245.49.90,14.49,0.00,0.00
104.24.138.33,10.95,0.00,0.00
108.162.193.67,14.26,0.00,0.00
104.17.96.0,14.29,0.00,0.00
198.41.199.55,14.41,0.00,0.00
190.93.245.170,16.11,0.00,0.00
172.65.142.231,13.31,0.00,0.00
141.101.90.142,13.11,0.00,0.00
190.93.247.128,14.54,0.00,0.00
104.25.81.138,14.29,0.00,0.00
172.65.45.107,11.80,0.00,0.00
162.159.248.46,11.32,0.00,0.00
172.65.123.217,11.74,0.00,0.00
108.162.199.218,12.78,0.00,0.00
198.41.222.234,12.01,0.00,0.00
104.16.182.37,14.48,0.00,0.00
104.25.162.246,12.01,0.00,0.00
162.159.34.18,14.26,0.00,0.00
104.27.35.20,11.97,0.00,0.00
190.93.244.81,12.29,0.00,0.00
104.27.203.184,13.55,0.00,0.00
104.27.21.223,14.15,0.00,0.00
162.159.23.108,14.21,0.00,0.00
162.159.39.92,28.24,0.00,0.00
104.16.228.171,11.57,0.00,0.00
172.65.40.140,10.91,0.00,0.00
104.24.190.217,12.17,0.00,0.00
104.24.239.225,15.62,0.00,0.00
104.25.129.80,13.29,0.00,0.00
104.18.125.168,14.58,0.00,0.00
173.245.58.166,12.94,0.00,0.00
104.21.80.5,14.18,0.00,0.00
172.65.156.108,13.43,0.00,0.00
172.67.141.103,11.71,0.00,0.00
172.66.202.65,13.41,0.00,0.00
198.41.195.227,14.23,0.00,0.00
103.31.4.240,12.47,0.00,0.00
104.19.223.97,12.04,0.00,0.00
188.114.97.149,14.14,0.00,0.00
141.101.113.28,11.96,0.00,0.00
188.114.96.65,13.25,0.00,0.00
104.19.23.134,14.96,0.00,0.00
108.162.195.126,12.69,0.00,0.00
104.19.109.65,14.58,0.00,0.00
172.66.129.245,14.25,0.00,0.00
104.21.202.138,14.49,0.00,0.00
188.114.96.206,11.72,0.00,0.00
172.67.240.59,13.82,0.00,0.00
104.16.178.68,14.60,0.00,0.00
198.41.207.16,11.49,0.00,0.00
108.162.192.32,13.26,0.00,0.00
172.65.185.199,14.49,0.00,0.00
198.41.194.31,14.66,0.00,0.00
104.25.18.224,14.23,0.00,0.00
104.19.9.218,12.11,0.00,0.00
104.25.194.64,11.97,0.00,0.00
104.20.63.39,13.19,0.00,0.00
104.25.224.125,12.16,0.00,0.00
104.18.132.52,13.27,0.00,0.00
198.41.197.170,13.65,0.00,0.00
190.93.244.251,11.93,0.00,0.00
172.64.90.99,14.66,0.00,0.00
103.31.4.170,11.21,0.00,0.00
190.93.244.107,11.89,0.00,0.00
172.65.157.142,11.08,0.00,0.00
162.159.62.207,10.06,0.00,0.00
141.101.122.218,14.84,0.00,0.00
173.245.58.150,12.15,0.00,0.00
104.18.164.153,15.57,0.00,0.00
104.25.30.144,13.34,0.00,0.00
162.159.43.167,14.10,0.00,0.00
198.41.193.215,14.83,0.00,0.00
198.41.198.205,11.57,0.00,0.00
104.26.10.177,12.23,0.00,0.00
172.67.87.137,14.42,0.00,0.00
104.25.171.81,12.98,0.00,0.00
172.65.159.232,11.84,0.00,0.00
104.25.126.80,14.23,0.00,0.00
172.67.64.66,12.84,0.00,0.00
172.65.126.67,12.92,0.00,0.00
172.67.169.77,14.11,0.00,0.00
104.19.214.204,14.22,0.00,0.00
104.19.101.89,11.76,0.00,0.00
104.24.35.136,11.97,0.00,0.00
104.17.122.42,14.23,0.00,0.00
188.114.98.20,11.62,0.00,0.00
141.101.120.26,14.56,0.00,0.00
173.245.49.169,13.27,0.00,0.00
104.18.250.218,12.03,0.00,0.00
104.21.68.248,11.92,0.00,0.00
188.114.99.9,12.27,0.00,0.00
104.25.212.69,13.53,0.00,0.00
188.114.96.46,14.51,0.00,0.00
104.18.161.39,14.31,0.00,0.00
104.24.57.103,14.32,0.00,0.00
172.66.172.53,11.64,0.00,0.00
198.41.196.22,14.27,0.00,0.00
104.25.26.165,11.93,0.00,0.00
190.93.246.164,14.15,0.00,0.00
104.25.44.148,12.24,0.00,0.00
198.41.209.51,13.62,0.00,0.00
104.21.78.161,11.96,0.00,0.00
104.17.88.64,12.85,0.00,0.00
190.93.247.24,13.64,0.00,0.00
162.159.239.68,13.34,0.00,0.00
190.93.247.51,12.53,0.00,0.00
198.41.218.4,13.98,0.00,0.00
104.25.49.205,13.81,0.00,0.00
198.41.198.135,12.07,0.00,0.00
104.25.192.252,14.03,0.00,0.00
104.27.7.64,14.51,0.00,0.00
104.20.18.17,10.98,0.00,0.00
104.24.141.104,13.01,0.00,0.00
141.101.121.59,13.39,0.00,0.00
104.25.201.6,14.26,0.00,0.00
188.114.96.201,14.83,0.00,0.00
190.93.247.143,14.28,0.00,0.00
104.18.230.129,12.76,0.00,0.00
141.101.113.196,12.13,0.00,0.00
172.67.113.25,14.20,0.00,0.00
141.101.122.39,14.66,0.00,0.00
173.245.49.69,14.24,0.00,0.00
104.25.189.180,11.97,0.00,0.00
162.159.224.83,12.33,0.00,0.00
172.65.203.89,11.99,0.00,0.00
104.27.203.0,14.54,0.00,0.00
104.24.10.79,14.31,0.00,0.00
104.27.196.118,11.72,0.00,0.00
104.18.237.62,11.68,0.00,0.00
188.114.97.183,12.43,0.00,0.00
104.18.213.109,11.65,0.00,0.00
190.93.246.245,13.87,0.00,0.00
188.114.98.54,11.82,0.00,0.00
104.25.29.255,10.85,0.00,0.00
104.25.142.191,13.56,0.00,0.00
172.67.152.24,11.89,0.00,0.00
188.114.98.190,12.52,0.00,0.00
104.19.1.140,13.14,0.00,0.00
141.101.122.62,12.16,0.00,0.00
104.25.55.197,14.15,0.00,0.00
172.64.154.126,14.63,0.00,0.00
108.162.199.188,11.40,0.00,0.00
104.24.220.115,12.30,0.00,0.00
173.245.58.66,14.26,0.00,0.00
172.67.113.238,11.86,0.00,0.00
108.162.198.8,14.06,0.00,0.00
190.93.247.177,11.02,0.00,0.00
104.16.165.137,12.42,0.00,0.00
104.25.117.74,11.99,0.00,0.00
172.66.172.1,14.48,0.00,0.00
141.101.123.176,14.40,0.00,0.00
104.27.22.176,14.45,0.00,0.00
104.24.67.183,12.23,0.00,0.00
198.41.211.192,12.45,0.00,0.00
104.19.26.113,11.99,0.00,0.00
104.18.10.208,12.22,0.00,0.00
104.17.131.149,15.36,0.00,0.00
162.159.197.245,12.82,0.00,0.00
108.162.192.90,14.07,0.00,0.00
104.18.115.79,14.78,0.00,0.00
173.245.58.103,14.68,0.00,0.00
104.26.13.68,11.87,0.00,0.00
104.19.233.26,12.08,0.00,0.00
104.24.150.241,14.78,0.00,0.00
104.24.40.132,11.79,0.00,0.00
190.93.245.193,12.08,0.00,0.00
162.159.27.11,13.51,0.00,0.00
108.162.193.101,14.34,0.00,0.00
104.19.178.254,11.56,0.00,0.00
104.18.25.26,13.25,0.00,0.00
104.27.62.139,12.76,0.00,0.00
173.245.58.193,11.71,0.00,0.00
104.25.108.140,14.49,0.00,0.00
172.67.229.0,15.02,0.00,0.00
141.101.122.217,11.98,0.00,0.00
104.25.213.86,13.43,0.00,0.00
104.21.10.211,12.22,0.00,0.00
104.24.39.188,13.58,0.00,0.00
104.25.156.155,14.08,0.00,0.00
188.114.99.37,13.58,0.00,0.00
141.101.121.150,11.68,0.00,0.00
104.17.11.243,14.93,0.00,0.00
