IP,延迟(ms),丢包率(%),速度(Mbps)
104.19.217.126,16.76,0.00,276.65
198.41.194.213,10.71,0.00,249.76
104.18.182.84,16.41,0.00,239.32
104.16.217.20,17.39,0.00,233.56
104.17.130.49,16.75,0.00,226.01
104.17.41.105,16.43,0.00,64.97
104.25.216.248,10.25,0.00,62.89
104.18.135.155,16.68,0.00,62.85
104.18.102.206,18.15,0.00,62.51
172.67.233.248,11.48,0.00,61.85
162.159.243.1,10.13,0.00,61.31
104.18.214.83,16.61,0.00,61.29
173.245.58.36,10.68,0.00,61.02
104.16.197.81,16.98,0.00,60.99
172.66.214.73,10.06,0.00,60.85
